                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7669,                 7.0648,                 1.9147,                0.34991,                0.33333,                0.05528,                0.04422,                0.95058,                 7.2298,                 1.4394,                      0,                      0,                      0
                      2,                 1.6335,                 6.2903,                 1.8567,                0.37106,                0.33333,                0.11056,                0.08844,                0.95815,                 7.0774,                 1.4393,             7.5053e-06,             7.5053e-06,             7.5053e-06
                      3,                 1.8033,                 7.4227,                 1.9233,                0.74534,                0.33333,                0.33167,                0.26533,                 1.0449,                 7.1885,                 1.4428,             1.3361e-05,             1.3361e-05,             1.3361e-05
                      4,                 1.5256,                 6.0447,                 1.8908,                0.84312,                0.33333,                0.33167,                0.23217,                 1.1627,                 6.9714,                 1.4631,             1.7568e-05,             1.7568e-05,             1.7568e-05
                      5,                 1.1189,                 5.9885,                 1.5914,                0.91344,                0.33333,                0.33167,                0.23217,                 1.2649,                 6.5297,                 1.5474,             2.0125e-05,             2.0125e-05,             2.0125e-05
                      6,                 1.1399,                 4.4808,                 1.6299,                0.92283,                0.33333,                0.38694,                0.24322,                  1.308,                 6.6241,                 1.5578,             2.1033e-05,             2.1033e-05,             2.1033e-05
                      7,                 1.0913,                  4.544,                 1.7573,                0.77538,                0.66667,                0.66333,                 0.4975,                 1.4343,                 6.1742,                  1.681,             2.0292e-05,             2.0292e-05,             2.0292e-05
                      8,                 0.8545,                 3.7042,                 1.3554,                0.82491,                0.66667,                0.66333,                0.46433,                 1.5291,                 5.6984,                 1.7579,             1.7901e-05,             1.7901e-05,             1.7901e-05
                      9,                0.89908,                 3.7399,                 1.3451,                0.81397,                0.66667,                0.66333,                0.43117,                 1.5999,                   5.33,                 1.7802,             1.3861e-05,             1.3861e-05,             1.3861e-05
                     10,                 0.8012,                 3.3298,                 1.2747,                0.81164,                0.66667,                0.75237,                0.44698,                 1.6553,                 5.3967,                 1.7748,             8.1717e-06,             8.1717e-06,             8.1717e-06
